"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","JUL","","STATE","MINNESOTA","27","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","65,467,000",""
"SURVEY","2022","JUL","","STATE","NEW JERSEY","34","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","5,302,000",""
"SURVEY","2022","JUL","","STATE","NEW MEXICO","35","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","79,163,000",""
"SURVEY","2022","JUL","","STATE","NEW YORK","36","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","56,429,000",""
"SURVEY","2022","JUL","","STATE","OHIO","39","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","19,742,000",""
"SURVEY","2022","JUL","","STATE","OTHER STATES","","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","261,135,000",""
"SURVEY","2022","JUL","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","37,376,000",""
"SURVEY","2022","JUL","","STATE","VERMONT","50","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","12,188,000",""
"SURVEY","2022","JUL","","STATE","WISCONSIN","55","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","287,754,000",""
"SURVEY","2022","JUN","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","203,438,000",""
"SURVEY","2022","JUN","","STATE","IDAHO","16","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","84,193,000",""
"SURVEY","2022","JUN","","STATE","ILLINOIS","17","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","5,980,000",""
"SURVEY","2022","JUN","","STATE","IOWA","19","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","31,013,000",""
"SURVEY","2022","JUN","","STATE","MINNESOTA","27","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","65,773,000",""
"SURVEY","2022","JUN","","STATE","NEW JERSEY","34","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","4,764,000",""
"SURVEY","2022","JUN","","STATE","NEW MEXICO","35","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","79,427,000",""
"SURVEY","2022","JUN","","STATE","NEW YORK","36","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","66,011,000",""
"SURVEY","2022","JUN","","STATE","OHIO","39","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","19,830,000",""
"SURVEY","2022","JUN","","STATE","OTHER STATES","","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","252,341,000",""
"SURVEY","2022","JUN","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","38,788,000",""
"SURVEY","2022","JUN","","STATE","VERMONT","50","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","12,169,000",""
"SURVEY","2022","JUN","","STATE","WISCONSIN","55","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","288,749,000",""
"SURVEY","2022","MAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","213,372,000",""
"SURVEY","2022","MAR","","STATE","IDAHO","16","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","89,284,000",""
"SURVEY","2022","MAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","5,300,000",""
"SURVEY","2022","MAR","","STATE","IOWA","19","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","30,371,000",""
"SURVEY","2022","MAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","67,475,000",""
"SURVEY","2022","MAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","5,791,000",""
"SURVEY","2022","MAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","83,302,000",""
"SURVEY","2022","MAR","","STATE","NEW YORK","36","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","78,987,000",""
"SURVEY","2022","MAR","","STATE","OHIO","39","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","23,434,000",""
"SURVEY","2022","MAR","","STATE","OTHER STATES","","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","260,160,000",""
"SURVEY","2022","MAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","39,313,000",""
"SURVEY","2022","MAR","","STATE","VERMONT","50","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","12,728,000",""
"SURVEY","2022","MAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","300,568,000",""
"SURVEY","2022","MAY","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","211,773,000",""
"SURVEY","2022","MAY","","STATE","IDAHO","16","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","76,748,000",""
"SURVEY","2022","MAY","","STATE","ILLINOIS","17","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","5,962,000",""
"SURVEY","2022","MAY","","STATE","IOWA","19","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","32,647,000",""
"SURVEY","2022","MAY","","STATE","MINNESOTA","27","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","65,827,000",""
"SURVEY","2022","MAY","","STATE","NEW JERSEY","34","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","4,293,000",""
"SURVEY","2022","MAY","","STATE","NEW MEXICO","35","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","84,173,000",""
"SURVEY","2022","MAY","","STATE","NEW YORK","36","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","72,677,000",""
"SURVEY","2022","MAY","","STATE","OHIO","39","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","22,489,000",""
"SURVEY","2022","MAY","","STATE","OTHER STATES","","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","264,447,000",""
"SURVEY","2022","MAY","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","39,420,000",""
"SURVEY","2022","MAY","","STATE","VERMONT","50","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","12,864,000",""
"SURVEY","2022","MAY","","STATE","WISCONSIN","55","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","290,793,000",""
"SURVEY","2022","OCT","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","204,560,000",""
"SURVEY","2022","OCT","","STATE","IDAHO","16","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","85,099,000",""
"SURVEY","2022","OCT","","STATE","ILLINOIS","17","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","5,696,000",""
"SURVEY","2022","OCT","","STATE","IOWA","19","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","30,019,000",""
"SURVEY","2022","OCT","","STATE","MINNESOTA","27","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","68,050,000",""
"SURVEY","2022","OCT","","STATE","NEW JERSEY","34","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","5,628,000",""
"SURVEY","2022","OCT","","STATE","NEW MEXICO","35","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","83,484,000",""
"SURVEY","2022","OCT","","STATE","NEW YORK","36","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","72,535,000",""
"SURVEY","2022","OCT","","STATE","OHIO","39","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","19,612,000",""
"SURVEY","2022","OCT","","STATE","OTHER STATES","","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","260,131,000",""
"SURVEY","2022","OCT","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","34,729,000",""
"SURVEY","2022","OCT","","STATE","VERMONT","50","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","12,147,000",""
"SURVEY","2022","OCT","","STATE","WISCONSIN","55","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","286,216,000",""
"SURVEY","2022","SEP","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","192,984,000",""
"SURVEY","2022","SEP","","STATE","IDAHO","16","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","86,329,000",""
"SURVEY","2022","SEP","","STATE","ILLINOIS","17","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","4,616,000",""
"SURVEY","2022","SEP","","STATE","IOWA","19","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","29,924,000",""
"SURVEY","2022","SEP","","STATE","MINNESOTA","27","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","63,621,000",""
"SURVEY","2022","SEP","","STATE","NEW JERSEY","34","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","5,368,000",""
"SURVEY","2022","SEP","","STATE","NEW MEXICO","35","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","77,408,000",""
"SURVEY","2022","SEP","","STATE","NEW YORK","36","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","68,644,000",""
"SURVEY","2022","SEP","","STATE","OHIO","39","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","19,449,000",""
"SURVEY","2022","SEP","","STATE","OTHER STATES","","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","255,061,000",""
"SURVEY","2022","SEP","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","36,493,000",""
"SURVEY","2022","SEP","","STATE","VERMONT","50","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","11,654,000",""
"SURVEY","2022","SEP","","STATE","WISCONSIN","55","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","288,480,000",""
"SURVEY","2021","APR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","207,372,000",""
"SURVEY","2021","APR","","STATE","IDAHO","16","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","86,941,000",""
"SURVEY","2021","APR","","STATE","ILLINOIS","17","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","5,109,000",""
"SURVEY","2021","APR","","STATE","IOWA","19","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","30,163,000",""
"SURVEY","2021","APR","","STATE","MINNESOTA","27","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","62,902,000",""
"SURVEY","2021","APR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","4,248,000",""
"SURVEY","2021","APR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","79,545,000",""
"SURVEY","2021","APR","","STATE","NEW YORK","36","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","68,334,000",""
"SURVEY","2021","APR","","STATE","OHIO","39","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","20,784,000",""
"SURVEY","2021","APR","","STATE","OTHER STATES","","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","242,900,000",""
"SURVEY","2021","APR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","39,665,000",""
"SURVEY","2021","APR","","STATE","VERMONT","50","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","12,615,000",""
"SURVEY","2021","APR","","STATE","WISCONSIN","55","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","294,023,000",""
"SURVEY","2021","AUG","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEESE","CHEESE - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","201,695,000",""
